feature,importance
EXAMCLIN02,0.044669803
FORCEPREHENSION,0.043415397
SF3603_SQ006_,0.040631972
FRAGIRE CALCUL TEST 3 VITMARCH.,0.031677827
EXAMCLIN01_SQ003_SQ001_,0.023753133
EPICE000_SQ003_,0.023518631
Smo_ROM_anML_follow-up,0.021928413
HHIE01_SQ005_,0.021924999
EPICE000_SQ006_,0.0199677
Spr_SwT_L_follow-up,0.019540327
FRAGIRE CALCUL PONDERATION,0.017440226
Sta_Att_aML_baseline,0.017068576
SPPB06,0.016876131
SCORE TOTAL SPPB,0.014521569
SF36-Physical functioning,0.014474951
SPPB7,0.013779238
Sexe,0.013383439
zero_crossing_SPD_ML_YF_baseline,0.013217571
BMI,0.012322762
SCORE FROP COM HORS AMTS SCORE FROPCOM0011,0.010898314
SPPB07 - COTATION,0.010624534
Syn_ffT_baseline,0.010485444
critical_time_Diffusion_ML_YF_baseline,0.010067683
Spr_UtrT_baseline,0.010037203
SF3603_SQ001_,0.009876142
range_ratio_ML_AND_AP_YF_baseline,0.009357979
frequency_dispersion_Power_Spectrum_Density_AP_YF_baseline,0.009078405
Variation du poids,0.008503228
Sta_Lyap_AccZWaist_follow-up,0.0082975235
CycleVariability_baseline,0.008225637
HADS TOTAL D,0.008220278
zero_crossing_SPD_ML_YO_baseline,0.008213701
principal_sway_direction_ML_AND_AP_YF_baseline,0.008157717
HHIE01_SQ006_,0.008062655
Age a l inclusion,0.0076160906
Sta_Lyap_GyrXWaist_follow-up,0.0075037526
VINICODEX0004_SQ009_,0.0074115647
EXAMCLIN023,0.0072316146
FROPCOM0018,0.007162827
FROPCOM0014,0.007074833
SF3611_SQ001_,0.0069620996
Smo_Ent_GyrYWaist_baseline,0.006819834
DoubleStance_follow-up,0.0063562067
Sta_Lyap_AccYWaist_follow-up,0.006237697
SPPB9,0.006114258
FROPCOM0007_SQ015_,0.005771415
MFESCALE000_SQ007_,0.0056900475
SF3604_SQ003_,0.0056672674
Sta_Att_aAP_follow-up,0.0055952156
SF36-28,0.0055322675
MeanStepDuration_follow-up,0.0053171325
HADS005,0.0052081654
MMSE03ORIENTATION2_SQ005_,0.0051011657
mean_value_ML_YO_follow-up,0.0050860676
long_time_scaling_Diffusion_ML_YO_follow-up,0.004847055
ICOPE0041,0.0047550667
FROPCOM0021,0.0047537237
Smo_ROM_anML_baseline,0.0047102715
FROPCOM0005,0.0046882974
SF3609_SQ007_,0.0046833856
Ste_cvSwT_L_baseline,0.004504324
Ste_FFTqaML_LB_baseline,0.00433498
Sta_Lyap_GyrZWaist_follow-up,0.0042877076
Sym_P1P2_aAP_LB2_follow-up,0.004200497
principal_sway_direction_ML_AND_AP_YO_baseline,0.0041802605
FROPCOM0027,0.004154616
frequency_dispersion_Power_Spectrum_Density_AP_YO_baseline,0.0041189897
SF3607,0.004029163
MMSE06LANGAGE3_SQ001_,0.003975172
critical_time_Diffusion_ML_YO_baseline,0.003973493
SF3609_SQ006_,0.003924464
Ste_FFTqgCC_LB_follow-up,0.0038899593
coefficient_sway_direction_ML_AND_AP_YF_follow-up,0.00386025
fractal_dimension_ML_AND_AP_YO_follow-up,0.0038528568
Sta_ROM_lML_follow-up,0.0038451613
LFS_ML_AND_AP_YO_follow-up,0.0036392852
frequency_quotient_Power_Spectrum_Density_AP_YF_baseline,0.0036256667
MFESCALE000_SQ009_,0.003619238
short_time_scaling_Diffusion_AP_YF_baseline,0.003578645
power_frequency_95_Power_Spectrum_Density_AP_YO_baseline,0.0035149264
FROPCOM0007_SQ007_,0.0034452025
VINCQ08,0.0033867494
FROPCOM0007_SQ011_,0.0032870315
SF3611_SQ003_,0.0032782003
Sta_Att_gML_follow-up,0.0032238897
mean_frequency_AP_YF_baseline,0.0031990907
Smo_Ent_GyrZWaist_baseline,0.0031486142
SCORE FROP COM SCREEN,0.0030361398
VINICODEX002_SQ002_,0.0029457058
Ste_FFTqaML_LB_follow-up,0.002838491
ICOPE006_SQ001_,0.0027563137
mean_peak_Sway_Density_YF_baseline,0.0027530186
HADS004,0.0027402581
Sta_Lyap_GyrYWaist_baseline,0.0027392798
fractal_dimension_ML_AND_AP_YF_follow-up,0.0027289079
Ste_FFTqaAP_LB_baseline,0.0026569339
SF3609_SQ008_,0.002629112
mean_value_ML_YF_baseline,0.0025933404
FROPCOM0007_SQ003_,0.0025786082
long_time_scaling_Diffusion_ML_YO_baseline,0.0025632451
SPPB04,0.0024857954
long_time_scaling_Diffusion_ML_YF_baseline,0.0024381347
Sta_Lyap_GyrYWaist_follow-up,0.0024105934
SF36-Role limitations due to physical health ,0.0023816891
SwingMeanStrideDuration_baseline,0.0022631264
RoliTronc_baseline,0.0022617392
SF3604_SQ001_,0.0022441153
mean_distance_ML_YO_follow-up,0.0022370266
VINICODEX0004_SQ006_,0.002216479
SF3610,0.0021591533
mean_peak_Sway_Density_YF_follow-up,0.0021573163
DoubleStance_baseline,0.002116787
critical_time_Diffusion_AP_YF_baseline,0.0021084347
Ste_FFTqgML_LB_baseline,0.0019517781
MNAEVALGLOBALEH,0.0019490663
mean_frequency_ML_YF_baseline,0.0019046154
MMSE08SCORETOTAL,0.0018589972
HADS006,0.0017972586
MMSE07PRAXIES_SQ001_,0.0017598246
SPPB02,0.0017227074
MMSE03ORIENTATION2_SQ003_,0.0017112686
energy_content_above_2_Power_Spectrum_Density_AP_YF_follow-up,0.0016915944
mean_value_AP_YF_follow-up,0.0016897129
mean_distance_AP_YO_follow-up,0.0016138066
FROPCOM0007_SQ021_,0.0016089451
SCORE ICOPE STEP1 REPERAGE GLOBAL,0.0016038977
RoliTronc_follow-up,0.001585106
total_power_Power_Spectrum_Density_AP_YO_follow-up,0.00152483
FROPCOM0026_SQ005_,0.0015226426
zero_crossing_SPD_AP_YO_baseline,0.0014991108
Ste_P2_aCC_LB2_baseline,0.0014968801
mean_value_AP_YF_baseline,0.0014840276
MNAEVALGLOBALEJ,0.0014828673
Sym_P1P2_aCC_LB2_baseline,0.0014545021
